account_sid,body,direction
AC1111111111,Rev up your savings! Get $5K off the Ford F-150 today.,outbound-api
AC1111111111,Upgrade your ride: Ford F-150 at 10% discount!,outbound-api
AC1111111111,Limited time offer: Drive home a Ford F-150 with $0 down.,outbound-api
AC1111111111,Unleash power and savings with our F-150 deal!,outbound-api
AC1111111111,Get behind the wheel of a Ford F-150 at a steal.,outbound-api
AC1111111111,Haul in savings: Ford F-150 now $8K off!,outbound-api
AC1111111111,"Big deals on the Ford F-150, don't miss out!",outbound-api
AC1111111111,"Command the road with our F-150, on sale now.",outbound-api
AC1111111111,Last chance! Ford F-150 with special 0.9% APR.,outbound-api
AC1111111111,Upgrade your pickup game: F-150 discounted!,outbound-api
AC1111111111,Roar into savings: $7K off the Ford F-150.,outbound-api
AC1111111111,Elevate your drive with the Ford F-150 deal.,outbound-api
AC1111111111,Limited stock: Grab your F-150 at a steal!,outbound-api
AC1111111111,"Revolutionize your ride: Ford F-150, now on sale.",outbound-api
AC1111111111,"Unbeatable offer: Ford F-150, $6K off!",outbound-api
AC1111111111,Experience power and savings in the F-150.,outbound-api
AC1111111111,Your new Ford F-150 awaits! Special financing available.,outbound-api
AC1111111111,Get the workhorse you need: F-150 on sale!,outbound-api
AC1111111111,"Upgrade your pickup: Ford F-150, best deal.",outbound-api
AC1111111111,Don't compromise on power or price: F-150 deal!,outbound-api
AC1111111111,"Hurry, limited units left of the discounted F-150.",outbound-api
AC1111111111,Conquer the road with our Ford F-150 offer.,outbound-api
AC1111111111,"Experience the F-150 advantage, now on discount.",outbound-api
AC1111111111,"Get the toughest truck: Ford F-150, $9K off!",outbound-api
AC1111111111,Last chance for F-150 savings - ends soon!,outbound-api
AC1111111111,"Command attention with a new F-150, discounted!",outbound-api
AC1111111111,Upgrade your drive: Ford F-150 at a steal.,outbound-api
AC1111111111,Roar into savings with $5K off the F-150!,outbound-api
AC1111111111,Limited inventory alert: F-150 deal you need!,outbound-api
AC1111111111,"Ford F-150: Power, performance, and a discount!",outbound-api
AC1111111111,Drive home the F-150 with special financing.,outbound-api
AC1111111111,"Rev up your savings: Ford F-150, $7K off!",outbound-api
AC1111111111,Upgrade your pickup game with our F-150 deal.,outbound-api
AC1111111111,Unleash power and savings: Ford F-150.,outbound-api
AC1111111111,Limited time left for the F-150 discount.,outbound-api
AC1111111111,Haul in savings: $8K off the Ford F-150!,outbound-api
AC1111111111,Get behind the wheel of a discounted F-150.,outbound-api
AC1111111111,"Big deals, big power: Ford F-150 on sale!",outbound-api
AC1111111111,Conquer the road with the Ford F-150 deal.,outbound-api
AC1111111111,Last chance for $6K off the Ford F-150!,outbound-api
AC1111111111,Upgrade your drive: F-150 at a special price.,outbound-api
AC1111111111,Revolutionize your ride with the F-150 deal.,outbound-api
AC1111111111,Experience the F-150 advantage with savings.,outbound-api
AC1111111111,Don't miss out: Ford F-150 at a steal!,outbound-api
AC1111111111,Limited units available: Get your F-150 now!,outbound-api
AC1111111111,Get the workhorse you need: F-150 on discount.,outbound-api
AC1111111111,Upgrade your pickup: F-150 with big savings.,outbound-api
AC1111111111,Unbeatable offer: Ford F-150 now $9K off!,outbound-api
AC1111111111,Elevate your drive with the discounted F-150.,outbound-api
AC1111111111,"Get the toughest truck: F-150, limited time deal!",outbound-api
AC1111111111,Hey Sarah! Drive home the Subaru Forester today with $4K off!,outbound-api
AC1111111111,"Upgrade your adventure, John: Subaru Forester now 15% off!",outbound-api
AC1111111111,"Limited time deal, Emily: $0 down on a new Subaru Forester.",outbound-api
AC1111111111,"Experience the outdoors, Alex: Subaru Forester deal awaits!",outbound-api
AC1111111111,"Get ready for road trips, Jessica: Subaru Forester on sale.",outbound-api
AC1111111111,"Discover new trails, Michael: Subaru Forester now $6K off!",outbound-api
AC1111111111,Hello Ashley! Subaru Forester deals you can't resist!,outbound-api
AC1111111111,"Unlock your journey, Daniel: Subaru Forester, special offer.",outbound-api
AC1111111111,"Last chance, Jennifer! 0.9% APR on the Subaru Forester.",outbound-api
AC1111111111,"Adventure is calling, David: Subaru Forester discounted!",outbound-api
AC1111111111,"Take the scenic route, Lauren: Subaru Forester $5K off!",outbound-api
AC1111111111,"Escape in style, Matthew: Subaru Forester, limited stock.",outbound-api
AC1111111111,Hi Emily! Don't miss out on the Subaru Forester deal!,outbound-api
AC1111111111,"Roam freely, Andrew: Subaru Forester now on sale.",outbound-api
AC1111111111,"Ready for exploration, Olivia: Subaru Forester, $7K off!",outbound-api
AC1111111111,Hey Jason! Subaru Forester brings adventure and savings.,outbound-api
AC1111111111,"Your journey starts here, Sophia: Subaru Forester offer.",outbound-api
AC1111111111,Hello Ethan! Get your Subaru Forester with special financing.,outbound-api
AC1111111111,"Unleash wanderlust, Ava: Subaru Forester deal awaits!",outbound-api
AC1111111111,"Make memories, William: Subaru Forester at a steal.",outbound-api
AC1111111111,"Time to explore, Mia: Subaru Forester, limited units left.",outbound-api
AC1111111111,Hi Christopher! Subaru Forester adventure starts here.,outbound-api
AC1111111111,"Experience more, Emma: Subaru Forester, discounted!",outbound-api
AC1111111111,"Embrace the outdoors, Daniel: Subaru Forester, $8K off!",outbound-api
AC1111111111,"Adventure awaits, Madison: Subaru Forester at a discount.",outbound-api
AC1111111111,Hello Ethan! Grab your Subaru Forester with savings.,outbound-api
AC1111111111,"Seize the day, Chloe: Subaru Forester, last chance deal.",outbound-api
AC1111111111,"Hit the road, Ryan: Subaru Forester now on sale!",outbound-api
AC1111111111,"Hello Sarah! Subaru Forester, your ticket to adventure.",outbound-api
AC1111111111,"Get away, Tyler: Subaru Forester, limited time offer.",outbound-api
AC1111111111,"Ready to roam, Grace: Subaru Forester with special savings.",outbound-api
AC1111111111,Hi Jacob! Subaru Forester adventure starts now.,outbound-api
AC1111111111,"Escape the ordinary, Olivia: Subaru Forester, $6K off!",outbound-api
AC1111111111,"Unleash your journey, Liam: Subaru Forester deal inside.",outbound-api
AC1111111111,Hi Emily! Don't miss out on the Subaru Forester offer!,outbound-api
AC1111111111,"Find your path, Ethan: Subaru Forester, special pricing.",outbound-api
AC1111111111,"Adventure calls, Ava: Subaru Forester at a steal.",outbound-api
AC1111111111,"Explore more, Benjamin: Subaru Forester, limited stock.",outbound-api
AC1111111111,Hello Jessica! Subaru Forester deal you've been waiting for.,outbound-api
AC1111111111,"Hi Daniel! Subaru Forester, adventure and savings await.",outbound-api
AC1111111111,"Discover new horizons, Mia: Subaru Forester on sale.",outbound-api
AC1111111111,"Embrace the open road, Lucas: Subaru Forester, $7K off!",outbound-api
AC1111111111,Hi Emily! Subaru Forester offers you can't resist!,outbound-api
AC1111111111,"Ready for adventure, Alexander: Subaru Forester discounted!",outbound-api
AC1111111111,"Hello Sophia! Subaru Forester, your gateway to exploration.",outbound-api
AC1111111111,"Roam freely, Olivia: Subaru Forester, limited time offer.",outbound-api
AC1111111111,"Escape the ordinary, Liam: Subaru Forester $8K off!",outbound-api
AC1111111111,"Find your way, Emma: Subaru Forester at a steal.",outbound-api
AC1111111111,"Ready to explore, Noah: Subaru Forester, last chance deal.",outbound-api
